id;subscription_start;subscription_end
436;2016-12-23;
437;2016-12-15;
440;2016-12-12;
447;2016-12-04;
456;2016-12-29;
460;2016-12-05;
463;2016-12-17;
465;2016-12-16;2017-03-24
468;2016-12-08;2017-03-23
470;2016-12-29;
474;2016-12-13;
478;2016-12-17;2017-01-29
486;2016-12-10;
490;2016-12-09;2017-03-15
500;2016-12-18;2017-03-12
503;2016-12-28;2017-03-07
506;2016-12-10;
512;2016-12-03;
515;2016-12-28;2017-01-31
516;2016-12-11;2017-03-27
522;2016-12-10;2017-02-12
528;2016-12-16;
533;2016-12-06;2017-02-28
534;2016-12-20;2017-03-08
536;2016-12-24;
538;2016-12-20;
545;2016-12-20;
547;2016-12-24;2017-03-09
549;2016-12-03;2017-03-20
552;2016-12-01;2017-02-23
553;2016-12-03;2017-03-15
554;2016-12-28;2017-03-26
558;2016-12-25;
559;2016-12-15;2017-03-08
560;2016-12-13;
561;2016-12-15;
566;2016-12-08;
569;2016-12-31;
571;2016-12-17;
578;2016-12-25;
579;2016-12-14;
581;2016-12-31;2017-03-09
582;2016-12-03;2017-03-24
586;2016-12-16;2017-01-29
587;2016-12-14;2017-01-23
593;2016-12-30;
598;2016-12-02;2017-03-04
608;2016-12-03;
611;2016-12-01;
615;2016-12-03;2017-01-10
616;2016-12-06;
618;2016-12-20;2017-02-25
621;2016-12-19;
625;2016-12-03;2017-03-18
632;2016-12-03;
642;2016-12-17;
645;2016-12-07;
649;2016-12-02;2017-01-12
653;2016-12-01;2017-01-31
659;2016-12-05;
665;2016-12-26;
675;2016-12-17;
676;2016-12-15;
678;2016-12-10;
685;2016-12-04;2017-03-03
686;2016-12-17;2017-03-19
687;2016-12-13;
689;2016-12-15;2017-02-22
692;2016-12-14;2017-03-16
699;2016-12-04;2017-01-10
703;2016-12-19;2017-03-24
706;2016-12-11;
713;2016-12-30;2017-02-24
714;2016-12-26;
717;2016-12-01;2017-03-21
725;2016-12-09;2017-03-31
727;2016-12-17;
729;2016-12-28;
732;2016-12-22;2017-01-29
734;2016-12-17;2017-03-18
736;2016-12-15;2017-03-08
738;2016-12-10;2017-01-23
744;2016-12-30;2017-02-13
748;2016-12-19;2017-02-18
761;2016-12-30;2017-02-11
765;2016-12-09;
767;2016-12-24;2017-01-24
772;2016-12-21;2017-03-17
773;2016-12-20;
778;2016-12-21;
790;2016-12-06;2017-02-14
796;2016-12-09;2017-02-19
797;2016-12-11;
803;2016-12-12;2017-03-14
806;2016-12-19;
807;2016-12-16;2017-01-22
813;2016-12-24;
819;2016-12-24;2017-03-31
821;2016-12-12;2017-01-24
822;2016-12-30;
824;2016-12-29;
829;2016-12-07;2017-02-05
830;2016-12-18;
832;2016-12-28;
839;2016-12-27;
845;2016-12-07;2017-01-25
846;2016-12-11;2017-03-09
850;2016-12-03;2017-03-25
851;2016-12-13;
853;2016-12-20;2017-02-25
854;2016-12-17;
855;2016-12-28;2017-03-02
857;2016-12-05;2017-03-12
864;2016-12-14;
872;2016-12-28;2017-03-28
884;2016-12-04;2017-02-10
885;2016-12-30;2017-03-11
889;2016-12-22;
890;2016-12-09;2017-02-16
902;2016-12-31;
908;2016-12-30;
911;2016-12-30;
914;2016-12-14;2017-01-24
921;2016-12-14;
922;2016-12-13;
925;2016-12-04;
928;2016-12-23;
929;2016-12-16;2017-02-21
932;2016-12-08;
934;2016-12-23;2017-02-10
941;2016-12-16;2017-01-18
942;2016-12-15;
947;2016-12-11;
949;2016-12-24;
950;2016-12-11;
960;2016-12-09;
962;2016-12-01;2017-03-13
964;2016-12-14;2017-02-27
968;2016-12-26;
973;2016-12-17;2017-03-16
976;2016-12-30;
977;2016-12-02;2017-02-28
978;2016-12-13;2017-01-20
979;2016-12-12;2017-03-22
983;2016-12-02;
984;2016-12-10;
986;2016-12-03;
991;2016-12-28;
993;2016-12-24;2017-03-15
